categoria;pregunta;opcion1;opcion2;opcion3;respuesta
CULTURA Y ARTE;Resistencia es conocida como:;La ciudad de las esculturas;Ciudad Museo;Ciudad Capital;La ciudad de las esculturas
CULTURA Y ARTE;¿Cuántas esculturas hay en Resistencia?;200;700;600;600
GEOGRAFÍA;¿En qué sectores se divide geográficamente la provincia del Chaco?;Litoral Chaqueño, centro Chaqueño e Impenetrable Chaqueño;Litoral Chaqueño e Impenetrable Chaqueño;Chaco Boreal y Chaco Austral;Litoral Chaqueño, centro Chaqueño e Impenetrable Chaqueño
GEOGRAFÍA;Campo del Cielo: Patrimonio Cultural y Turístico del Chaco, ¿Dónde se ubica?;Maipú;Bermejo;12 de Octubre;12 de Octubre
GEOGRAFÍA;Al norte el límite natural establecido entre la Provincia de Chaco y Formosa es:;Pilcomayo;Paraná;Bermejo;Bermejo
GEOGRAFÍA;Al sur, el límite establecido entre la Provincia del Chaco y Santa Fe es:;Paralelo 28;Paralelo 30;Paralelo 29;Paralelo 28
HISTORIA;El ex ferrocarril General Belgrano conectaba a:;Puerto de Barranqueras con Formosa;Puerto de Barranqueras con Salta;Puerto de Barranquera con Santiago del Estero;Puerto de Barranqueras con Salta
DEPORTE;En el ámbito automovilístico deportivo Chaco tiene un exponente a nivel nacional e internacional, ¿Quién es?;Juan Manuel Silva;Giorgio Carrara;Marcos Siebert;Juan Manuel Silva
DEPORTE;En el ámbito de los juegos olímpicos, el Chaco tiene un medallista en:;Básquet;Fútbol;Jockey;Básquet
DEPORTE;Marcela Gómez, chaqueña, participó en los Juegos Olímpicos de Tokio en:;Natación;Remo;Atletismo;Atletismo
DEPORTE;El club de fútbol más antiguo del Chaco es:;For Ever;Sarmiento;Don Orione;Sarmiento
CULTURA Y ARTE;Por Decreto N° 1491 el Gobierno de la Provincia del Chaco se declaró a un instrumento musical como “Patrimonio Cultural de la provincia del Chaco”, ¿Cuál es?;Acordeón;N´viké;Charango;N´viké
CULTURA Y ARTE;La palabra Chacú del cual deriva el nombre de nuestra provincia, tenía un significado ¿Cuál era?;Caza comunal de animales;Nombre de un árbol que abunda en la región;Nombre de un animal;Caza comunal de animales
GEOGRAFÍA;La superficie total de la provincia del Chaco es de:;99.633 Km²;32.565 Km²;29.900 Km²;99.633 Km²
GEOGRAFÍA;La población actual del Chaco oscila entre:;300.000;2.000.000;1.000.000;1.000.000
HISTORIA;¿Quién fue el primer gobernador del Territorio Nacional del Chaco?;Gral. Lorenzo Winter;Gral. Julio de Vedia;Gral. Antonio Dónovan;Gral. Julio de Vedia
HISTORIA;Un escritor reconocido en el ámbito chaqueño recibió el Premio Pionero de las Letras Chaqueñas, otorgado por la provincia del Chaco y la SADE local en 1985. ¿Quién fue?;Tony Zalazar;Aledo Luis Meloni;Tete Romero;Aledo Luis Meloni
CULTURA Y ARTE;En la bandera del Chaco hay un arado rodeado de 25 estrellas ¿Qué representan?;Los departamentos provinciales;Las ciudades principales;Grandes personajes que forzaron Chaco;Los departamentos provinciales
CULTURA Y ARTE;En un emblemático edificio de la ciudad de Resistencia se encuentra un mural del reconocido pintor Emilio Pettoruti ¿Dónde se encuentra emplazado?;La Municipalidad de la Ciudad;El Fogón de los Arrieros;Casa de Gobierno;Casa de Gobierno
ECONOMÍA;La producción destacada chaqueña que perdura en la memoria y porla cual se la reconoce a la provincia fue:;Caña de azúcar;Algodón;Producción de tanino;Algodón
